airline,cluster,pc1,pc2
ATP FLIGHT SCHOOL,0,-0.402088261,-0.059997108
ATR,0,-0.274928063,0.164581914
ATRAN,0,-0.440966721,-0.107145667
ATSA AIRLINES,0,-0.427390823,-0.020057459
AUCKLAND RESCUE HELICOPTER,0,-0.402088261,-0.059997108
AURIC AIR,0,-0.311667888,0.098375999
AURIGNY AIR SERVICES,0,-0.351637613,0.002625254
AURORA,0,-0.334200332,0.082926494
AURORA FLIGHT SCIENCES,0,-0.457011977,-0.108947894
AUSTRALIA - CUSTOMS,0,-0.521711566,-0.221462398
AUSTRALIA - FEDERAL POLICE,0,-0.521711566,-0.221462398
AUSTRALIA - ROYAL AUSTRALIAN AIR FORCE,0,0.009473595,0.302866224
AUSTRIA - AIR FORCE,0,-0.310793363,0.037345671
AUSTRIAN AIRLINES,0,0.923066358,0.482122101
AV8JET,0,-0.511935692,-0.15789868
AVA AIRLINES,0,-0.511935692,-0.15789868
AVALAIR AIRCRAFT MANAGEMENT,0,-0.434912759,0.005598255
AVANTI AIR,0,-0.405617585,-0.082353306
AVCENTER,0,-0.46533568,-0.101554068
AVCON JET,0,-0.434912759,0.005598255
AVELO AIRLINES,0,-0.343404331,0.088426024
AVIA TRAFFIC,0,-0.469798607,-0.089562216
AVIACON ZITOTRANS,0,-0.335311518,0.00391605
AVIANCA,0,1.115194376,0.504840622
AVIANCA CARGO,0,-0.343093822,0.01364646
AVIASERVICE,0,-0.46533568,-0.101554068
AVIASTAR,0,-0.521711566,-0.221462398
AVIASTAR-TU,0,-0.369061717,-0.000819126
AVIATION ADVENTURES,0,-0.312553326,0.483997146
AVIATION ADVISOR,0,-0.403892285,0.079694107
AVIATION DAFENSE SERVICE,0,-0.29197013,0.039072756
AVIATION HORIZONS,0,-0.508677067,-0.136710775
AVIATION SERVICES MANAGEMENT,0,-0.518452942,-0.200274492
AVIATOR COLLEGE,0,-0.29172411,0.245426025
AVIATOR ZONE ACADEMY,0,-0.357932345,0.068586052
AVIATOR.S5,0,-0.518452942,-0.200274492
AVIATSA,0,-0.521711566,-0.221462398
AVINCIS,0,-0.25214084,0.465706118
AVION EXPRESS,0,-0.351146826,0.022208578
AVIONCO,0,-0.521711566,-0.221462398
AVIONORD,0,-0.381742054,-0.01676679
AVIOR AIRLINES,0,-0.469798607,-0.089562216
AVIOSTART,0,-0.366739125,-0.035204747
AWA,0,-0.413814925,0.067030748
AWESOME CARGO,0,-0.440966721,-0.107145667
AXIO,0,-0.398558937,-0.03764091
AXIS AVIATION,0,-0.472055377,-0.07494292
AZERBAIJAN AIRLINES,0,2.007209291,0.60074422
AZIMUTH,0,-0.305098442,0.069048207
AZMAN AIR,0,-0.46533568,-0.101554068
AZORES AIRLINES,0,8.091491714,-4.724757411
