airline,fleet_size,n_models,diversity,new_gen_share,indice_modernite_v0,indice_public,indice_penalise,n_a220,n_787,n_a350,n_a330neo,n_neo,n_max,pct_a220,pct_787,pct_a350,pct_a330neo,pct_neo,pct_max,pct_newgen_narrow,pct_newgen_wide,fleet_bucket
HK EXPRESS,41,4.0,0.0975609756097561,0.5365853658536586,0.5365853658536586,0.5365853658536586,0.5365853658536586,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439,0.0,0.024390243902439,0.0,Large
TUI FLY,126,12.0,0.0952380952380952,0.5317460317460317,0.5317460317460317,0.5317460317460317,0.5317460317460317,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0158730158730158,0.0,0.0,0.0,0.0079365079365079,0.0079365079365079,0.0158730158730158,Large
ETHIOPIAN AIRLINES,143,20.0,0.1398601398601398,0.5314685314685315,0.5314685314685315,0.5314685314685315,0.5314685314685315,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0139860139860139,0.0139860139860139,0.0,0.0,0.0069930069930069,0.0069930069930069,0.0279720279720279,Large
AEGEAN AIRLINES,68,4.0,0.0588235294117647,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0147058823529411,0.0,0.0147058823529411,0.0,Large
AIR TANZANIA,17,7.0,0.4117647058823529,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,1.0,0.0,0.0,0.0,1.0,0.0588235294117647,0.0588235294117647,0.0,0.0,0.0,0.0588235294117647,0.1176470588235294,0.0588235294117647,Large
AIR MAURITIUS,12,5.0,0.4166666666666667,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0833333333333333,Medium
BULGARIA AIR,14,5.0,0.3571428571428571,0.5,0.5,0.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,Large
COMLUX,6,5.0,0.8333333333333334,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,Medium
IBEROJET,8,4.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,Medium
SWISS,94,11.0,0.1170212765957446,0.5,0.5,0.5,0.5,2.0,0.0,0.0,0.0,1.0,0.0,0.0212765957446808,0.0,0.0,0.0,0.0106382978723404,0.0,0.0319148936170212,0.0,Large
AIR CAIRO,37,4.0,0.1081081081081081,0.4864864864864865,0.4864864864864865,0.4864864864864865,0.4864864864864865,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.027027027027027,0.0,0.027027027027027,0.0,Large
ALL NIPPON AIRWAYS,247,20.0,0.0809716599190283,0.4817813765182186,0.4817813765182186,0.4817813765182186,0.4817813765182186,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0121457489878542,0.0,0.0,0.0080971659919028,0.0,0.0080971659919028,0.0121457489878542,Large
JAZEERA AIRWAYS,23,2.0,0.0869565217391304,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0434782608695652,0.0,0.0434782608695652,0.0,Large
ROYAL JORDANIAN,40,14.0,0.35,0.475,0.475,0.475,0.475,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.025,0.0,0.0,0.025,0.0,0.025,0.025,Large
AZUL,209,15.0,0.0717703349282296,0.4736842105263158,0.4736842105263158,0.4736842105263158,0.4736842105263158,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0095693779904306,0.0,0.0095693779904306,0.0,Large
IRAQI AIRWAYS,28,9.0,0.3214285714285714,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,1.0,1.0,0.0,0.0,0.0,1.0,0.0357142857142857,0.0357142857142857,0.0,0.0,0.0,0.0357142857142857,0.0714285714285714,0.0357142857142857,Large
