airline,fleet_size,diversity,modernity_index,version_v1,qa_notes
SPARTAN COLLEGE OF AERONAUTICS AND TECHNOLOGY,71,0.070422535,0,v1,
SPECIALIST AVIATION SERVICES,13,0.153846154,0,v1,
SPIRITJETS,6,0.666666667,0,v1,
SPRING CITY AVIATION,6,0.5,0,v1,
SPRING JAPAN,6,0.5,0,v1,
SPRINTAIR,18,0.388888889,0,v1,
ST BARTH COMMUTER,6,0.5,0,v1,
ST BARTH EXECUTIVE,7,0.428571429,0,v1,
STAJETS,9,0.555555556,0,v1,
STAR AIR,10,0.2,0,v1,
STAR AIR CARGO,9,0.666666667,0,v1,
STAR PERU,10,0.4,0,v1,
STAR WORK SKY,8,0.125,0,v1,
STARLINK AVIATION,5,0.6,0,v1,
STARLITE AVIATION,11,0.272727273,0,v1,
SUBURBAN AIR FREIGHT,16,0.1875,0,v1,
SUMMIT AIR,21,0.428571429,0,v1,
SUMMIT AVIATION,18,0.277777778,0,v1,
SUN COUNTRY AIRLINES,46,0.282608696,0,v1,
SUN-AIR,9,0.555555556,0,v1,
SUNDAIR,5,0.6,0,v1,
SUNDT AIR,5,1,0,v1,
SUNRISE AIRWAYS,6,0.5,0,v1,
SUNWEST AVIATION,21,0.619047619,0,v1,
SUPARNA AIRLINES,12,0.416666667,0,v1,
SUPER AIR JET,61,0.016393443,0,v1,
SURF AIR,8,0.25,0,v1,
SUSI AIR,21,0.19047619,0,v1,
SVENSK LUFTAMBULANS,6,0.166666667,0,v1,
SVENSKT AMBULANSFLYG,6,0.166666667,0,v1,
SVG AIR,5,0.6,0,v1,
SWEDEN - AIR FORCE,61,0.163934426,0,v1,
SWEDEN - SWEDISH MARITIME ADMINISTRATION,7,0.142857143,0,v1,
SWIFT COPTERS,12,0.666666667,0,v1,
SWIFTAIR,29,0.586206897,0,v1,
SWISS HELICOPTER,31,0.129032258,0,v1,
SYLT AIR,9,0.666666667,0,v1,
SYRIAN AIR,16,0.375,0,v1,
TABAN AIRLINES,5,0.6,0,v1,
TAIGA AIR,6,0.5,0,v1,
TAILWIND AIRLINES,5,0.2,0,v1,
TALON AIR,9,0.666666667,0,v1,
TAR AEROLINEAS,5,0.2,0,v1,
TARCO AIR,11,0.727272727,0,v1,
TAROM,14,0.357142857,0,v1,
TARP AVIATION,6,0.833333333,0,v1,
TASSILI AIRLINES,23,0.173913043,0,v1,
TEAM GLOBAL EXPRESS,7,0.857142857,0,v1,
TERRA AVIA,8,0.875,0,v1,
THAI LION AIR,29,0.103448276,0,v1,
THE LITTLE JET COMPANY,5,0.6,0,v1,
THRIVE,17,0.411764706,0,v1,
THRUST FLIGHT,41,0.12195122,0,v1,
THUNDER AIRLINES,13,0.307692308,0,v1,
TIANJIN AIR CARGO,5,0.8,0,v1,
TIME AIR,9,0.444444444,0,v1,
TOKI AIR,13,0.230769231,0,v1,
TOOS AIRLINES,5,0.6,0,v1,
TOTAL LINHAS AEREAS,8,0.875,0,v1,
TRADE AIR,5,0.4,0,v1,
TRADEWIND AVIATION,35,0.142857143,0,v1,
TRANS GUYANA AIRWAYS,13,0.384615385,0,v1,
TRANS MALDIVIAN AIRWAYS,61,0.049180328,0,v1,
TRANSAIR,10,0.5,0,v1,
TRANSNUSA,10,0.3,0,v1,
TRANSPORTES AAREOS PEGASO,19,0,0,v1,
TRAVIRA AIR,14,0.642857143,0,v1,
TRIDENT AIRCRAFT,8,1,0,v1,
TRIGANA AIR,9,0.888888889,0,v1,
TROPIC AIR,17,0.176470588,0,v1,
TULPAR AIR,8,0.75,0,v1,
TULPAR AIRCOMPANY,10,0.5,0,v1,
TUNISIA - AIR FORCE,8,0.5,0,v1,
TURKEY - AIR FORCE,35,0.2,0,v1,
TURKMENISTAN AIRLINES,19,0.421052632,0,v1,
TWIN JET,13,0.076923077,0,v1,
TYROL AIR AMBULANCE,5,0.4,0,v1,
TYROLEAN JET SERVICES,5,0.8,0,v1,
UKRAINE INTERNATIONAL AIRLINES,6,0.666666667,0,v1,
ULTIMATE JET,8,0.5,0,v1,
UND AEROSPACE,154,0.064935065,0,v1,
UNI AIR,14,0.071428571,0,v1,
UNICAIR,16,0.3125,0,v1,
UNION AVIATION,10,0.7,0,v1,
UNITED ARAB EMIRATES - AIR FORCE,61,0.278688525,0,v1,
UNITED AVIATE ACADEMY,50,0.02,0,v1,
UNITED KINGDOM - AIR AMBULANCE,50,0.18,0,v1,
UNITED KINGDOM - ARMY AIR CORPS,145,0.103448276,0,v1,
UNITED KINGDOM - NATIONAL POLICE AIR SERVICE,5,0.4,0,v1,
UNITED KINGDOM - ROYAL AIR FORCE,382,0.130890052,0,v1,
UNITED KINGDOM - ROYAL AIR FORCE AIR TRANSPORT,58,0.137931034,0,v1,
UNITED KINGDOM - ROYAL NAVY,107,0.196261682,0,v1,
UNITED NATIONS,40,0.475,0,v1,
UNITED STATES - AIR FORCE,3621,0.056338028,0,v1,
UNITED STATES - CALIFORNIA DEPARTMENT OF FORESTRY,75,0.133333333,0,v1,
UNITED STATES - COAST GUARD,230,0.073913043,0,v1,
UNITED STATES - DEPARTMENT OF JUSTICE,6,0.833333333,0,v1,
UNITED STATES - DEPARTMENT OF STATE,16,0.3125,0,v1,
UNITED STATES - FLORIDA FOREST SERVICE,38,0.289473684,0,v1,
UNITED STATES - MARYLAND STATE POLICE,11,0.181818182,0,v1,
UNITED STATES - NASA,59,0.372881356,0,v1,
UNITED STATES - NORTH CAROLINA FOREST SERVICE,23,0.47826087,0,v1,
UNITED STATES - US DEPARTMENT OF INTERIOR,39,0.307692308,0,v1,
UNITED STATES - US FOREST SERVICE,21,0.428571429,0,v1,
UNITED STATES - US IMMIGRATION AND CUSTOMS ENFORCEMENT,229,0.109170306,0,v1,
UNIVERSITY OF CENTRAL MISSOURI AVIATION,19,0.210526316,0,v1,
UNIVERSITY OF OKLAHOMA SCHOOL OF AVIATION,33,0.181818182,0,v1,
UPS,286,0.059440559,0,v1,
UR AIRLINES,5,0.6,0,v1,
URUMQI AIR,16,0.3125,0,v1,
US-BANGLA AIRLINES,20,0.35,0,v1,
USA JET AIRLINES,18,0.277777778,0,v1,
UTAIR,64,0.296875,0,v1,
UVT AERO,8,0.25,0,v1,
VALAIR,6,0.5,0,v1,
VALLJET,20,0.5,0,v1,
VARESH AIRLINES,8,0.875,0,v1,
VENTURA,20,0.4,0,v1,
VENTURE AVIATION GROUP,10,0.8,0,v1,
VENTURE WEST AVIATION,15,0.733333333,0,v1,
VERIJET,10,0.2,0,v1,
VIA AIR,6,0.666666667,0,v1,
VICTORY AIR,10,0.1,0,v1,
VIEQUES AIR LINK,13,0.615384615,0,v1,
VISTA AMERICA,75,0.133333333,0,v1,
VISTAJET,141,0.134751773,0,v1,
VOEPASS,10,0.2,0,v1,
VOLARE AVIATION,10,0.9,0,v1,
VOLATO,11,0.181818182,0,v1,
VOLGA-DNEPR AIRLINES,15,0.2,0,v1,
VOLOTEA,42,0.095238095,0,v1,
VOYAGEUR AIRWAYS,30,0.2,0,v1,
WAMOS AIR,9,0.333333333,0,v1,
WARBELOWS AIR VENTURES,6,0.333333333,0,v1,
WASAYA AIRWAYS,17,0.470588235,0,v1,
WELTALL AVIA,6,0.666666667,0,v1,
WEST ATLANTIC,11,0.909090909,0,v1,
WEST COAST CHARTERS,17,0.235294118,0,v1,
WESTAIR AVIATION,7,0.857142857,0,v1,
WESTERN AIR,8,0.25,0,v1,
WESTERN AIR EXPRESS,6,0.666666667,0,v1,
WESTERN AIRCRAFT,10,0.3,0,v1,
WESTERN GLOBAL AIRLINES,20,0.2,0,v1,
WESTERN MICHIGAN UNIVERSITY COLLEGE OF AVIATION,72,0.055555556,0,v1,
WHEELS UP,143,0.104895105,0,v1,
WIGGINS AIRWAYS,10,0.3,0,v1,
WINAIR,8,0.25,0,v1,
WINDROSE AIRLINES,16,0.5625,0,v1,
WING AVIATION,10,0.9,0,v1,
WINGO,9,0.111111111,0,v1,
WINGS AIR,52,0.038461538,0,v1,
WORLD ATLANTIC AIRLINES,8,0.125,0,v1,
WORLDWIDE JET CHARTER,6,0.833333333,0,v1,
WRIGHT AIR SERVICE,18,0.333333333,0,v1,
XCEL JET,5,0.4,0,v1,
XO,20,0.05,0,v1,
YAKUTIA AIRLINES,11,0.636363636,0,v1,
YAMAL AIRLINES,25,0.28,0,v1,
YAZD AIRWAYS,5,0.6,0,v1,
YETI AIRLINES,7,0.142857143,0,v1,
YTO CARGO AIRLINES,13,0.307692308,0,v1,
Z AIR,5,0.4,0,v1,
ZAGROS AIRLINES,14,0.5,0,v1,
ZENFLIGHT,6,0.666666667,0,v1,
ZEUSCH AVIATION,7,0.571428571,0,v1,
ZIMEX AVIATION,18,0.388888889,0,v1,
ZYB LILY JET,12,0.5,0,v1,
AIR JAPAN,2,0.5,0.2,v1,fleet_too_small
AIR MANAS,1,1,0.6,v1,fleet_too_small
AIR TAHITI NUI,4,0.25,0.1,v1,fleet_too_small
LA COMPAGNIE,2,0.5,0,v1,fleet_too_small
RIYADH AIR,1,1,0.4,v1,fleet_too_small
ASCEND AIRWAYS,4,0.5,0.1,v1,fleet_too_small
ANIMAWINGS,4,0.75,0.15,v1,fleet_too_small
CABO VERDE AIRLINES,2,1,0.2,v1,fleet_too_small
AIR SAMARKAND,3,1,0.133333333,v1,fleet_too_small
UNITED KINGDOM - UK ROYAL/VIP FLIGHTS,3,0.666666667,0,v1,fleet_too_small
21 AIR,2,0.5,0,v1,fleet_too_small
247 AVIATION,4,0.75,0,v1,fleet_too_small
30 WEST JETS,1,1,0,v1,fleet_too_small
4AIRWAYS,3,0.666666667,0,v1,fleet_too_small
7AIR CARGO,3,1,0,v1,fleet_too_small
ACASS IRELAND,2,1,0,v1,fleet_too_small
AEGEAN EXECUTIVE,2,1,0,v1,fleet_too_small
AERCARIBE CARGO,4,0.75,0,v1,fleet_too_small
AERO CHARTER AND TRANSPORT,2,0.5,0,v1,fleet_too_small
AERO CLUBE DE COIMBRA,1,1,0,v1,fleet_too_small
AERO COATL MEXICANO,1,1,0,v1,fleet_too_small
AERO DILI,2,1,0,v1,fleet_too_small
AERO NOMAD,2,0.5,0,v1,fleet_too_small
AERO TAK,1,1,0,v1,fleet_too_small
AERO-TECH SERVICES,4,1,0,v1,fleet_too_small
AEROLINEAS SOSA,4,0.75,0,v1,fleet_too_small
AEROMAS,2,1,0,v1,fleet_too_small
AEROPAPA,1,1,0,v1,fleet_too_small
AEROREGIONAL,4,0.75,0,v1,fleet_too_small
AEROSAFIN,3,1,0,v1,fleet_too_small
AEROSTAN,3,1,0,v1,fleet_too_small
AEROTOURS,3,1,0,v1,fleet_too_small
AEROTRANSCARGO,3,0.666666667,0,v1,fleet_too_small
AEROTURPIAL,2,1,0,v1,fleet_too_small
AEROVIS AIRLINES,1,1,0,v1,fleet_too_small
AFRICA AIRLINES,2,1,0,v1,fleet_too_small
AFRICAN EXPRESS AIRWAYS,2,1,0,v1,fleet_too_small
AIR 1ST AVIATION,2,1,0,v1,fleet_too_small
AIR ALBANIA,1,1,0,v1,fleet_too_small
AIR ALSIE,4,0.75,0,v1,fleet_too_small
AIR ASTRA,4,0.25,0,v1,fleet_too_small
AIR ATLANTA ICELANDIC,1,1,0,v1,fleet_too_small
AIR BOHEMIA,4,1,0,v1,fleet_too_small
AIR BURKINA,3,1,0,v1,fleet_too_small
AIR CALEDONIE,4,0.25,0,v1,fleet_too_small
AIR CHARTER SCOTLAND EUROPE,1,1,0,v1,fleet_too_small
AIR CHARTERS EUROPE,4,0.75,0,v1,fleet_too_small
AIR CLASS,4,1,0,v1,fleet_too_small
AIR EAGLE,1,1,0,v1,fleet_too_small
AIR EXCEL,1,1,0,v1,fleet_too_small
AIR FALCON,1,1,0,v1,fleet_too_small
AIR KEY WEST,3,0.666666667,0,v1,fleet_too_small
AIR MEDITERRANEAN,2,0.5,0,v1,fleet_too_small
AIR MOANA,3,0.333333333,0,v1,fleet_too_small
AIR MONTENEGRO,3,0.666666667,0,v1,fleet_too_small
AIR MOUNTAIN,2,0.5,0,v1,fleet_too_small
AIR SAINT-PIERRE,1,1,0,v1,fleet_too_small
AIR TAXI & CHARTER INTERNATIONAL,1,1,0,v1,fleet_too_small
AIR THANLWIN,4,0.5,0,v1,fleet_too_small
AIR TXT,1,1,0,v1,fleet_too_small
AIR URGA,4,0.5,0,v1,fleet_too_small
AIR VANUATU,3,1,0,v1,fleet_too_small
AIR VOLTA,4,0.5,0,v1,fleet_too_small
AIR WISCONSIN,3,0.333333333,0,v1,fleet_too_small
AIR ZIMBABWE,4,1,0,v1,fleet_too_small
AIR-TAXI EUROPE,4,0.25,0,v1,fleet_too_small
AIR1AIR,2,1,0,v1,fleet_too_small
AIR65 AVIATION,1,1,0,v1,fleet_too_small
AIRACT,2,0.5,0,v1,fleet_too_small
AIRBORNE IMAGING,4,0.25,0,v1,fleet_too_small
AIRCHARTERS WORLDWIDE,2,1,0,v1,fleet_too_small
AIRGO PRIVATE AIRLINE,3,0.666666667,0,v1,fleet_too_small
AIRHUB AIRLINES,1,1,0,v1,fleet_too_small
AIRJET,2,1,0,v1,fleet_too_small
AIRMASTER,2,1,0,v1,fleet_too_small
AIRONE,1,1,0,v1,fleet_too_small
AIRQUEST AVIATION,2,1,0,v1,fleet_too_small
AIRSTAR CHARTER,3,1,0,v1,fleet_too_small
AIRSTREAM,2,1,0,v1,fleet_too_small
AIRTANKER,2,0.5,0,v1,fleet_too_small
AIRTASK,3,0.666666667,0,v1,fleet_too_small
AIRTRAFFIC,4,0.25,0,v1,fleet_too_small
ALADDIN JET,1,1,0,v1,fleet_too_small
ALAMAN AIR,2,1,0,v1,fleet_too_small
ALBATROS AIRLINES,1,1,0,v1,fleet_too_small
ALBINATI AERONAUTICS,2,1,0,v1,fleet_too_small
ALBINATI AVIATION,1,1,0,v1,fleet_too_small
ALEXANDRIA AIRLINES,1,1,0,v1,fleet_too_small
ALFA AIRLINES,2,1,0,v1,fleet_too_small
ALHAYA AVIATION,1,1,0,v1,fleet_too_small
ALK AIRLINES,1,1,0,v1,fleet_too_small
ALLIANCE EXECUTIVE JETS,4,0.75,0,v1,fleet_too_small
ALLIED AIR,4,1,0,v1,fleet_too_small
ALPAVIA,2,0.5,0,v1,fleet_too_small
ALPHA THREE AVIATION,1,1,0,v1,fleet_too_small
ALPHALAND AVIATION,2,0.5,0,v1,fleet_too_small
ALPHASKY,3,1,0,v1,fleet_too_small
ALPINE FLIGHTSERVICE,2,1,0,v1,fleet_too_small
ALTAGNA,2,1,0,v1,fleet_too_small
ALTAIR AIRLINES,1,1,0,v1,fleet_too_small
ALTIUS AVIATION,4,0.75,0,v1,fleet_too_small
AMAKUSA AIRLINES,1,1,0,v1,fleet_too_small
AMC AIRLINES,3,0.666666667,0,v1,fleet_too_small
ANDES LINEAS AEREAS,4,0.75,0,v1,fleet_too_small
ANGARA AIRLINES,2,0.5,0,v1,fleet_too_small
APG AIRLINES,1,1,0,v1,fleet_too_small
ARC EN CIEL,4,0.75,0,v1,fleet_too_small
ARIRANG AVIATION,2,1,0,v1,fleet_too_small
ARKHANGELSK AIRLINES,3,0.333333333,0,v1,fleet_too_small
ARMENIA AIRWAYS,3,1,0,v1,fleet_too_small
ARUBA AIRLINES,1,1,0,v1,fleet_too_small
ASIA CARGO AIRLINES,2,1,0,v1,fleet_too_small
ASIA UNION AIRLINES,2,1,0,v1,fleet_too_small
ASIAN EXPRESS AIRLINES,1,1,0,v1,fleet_too_small
ASIAN EXPRESS GENERAL AVIATION WUXI,4,0.5,0,v1,fleet_too_small
ASMAN AIRLINES,1,1,0,v1,fleet_too_small
ASTA LINHAS AEREAS,3,0.333333333,0,v1,fleet_too_small
ATLANTA AIR CHARTER,3,0.666666667,0,v1,fleet_too_small
ATM INFORMATION SERVICE JAPAN,4,0.5,0,v1,fleet_too_small
ATP FLIGHT SCHOOL,4,0.5,0,v1,fleet_too_small
ATRAN,3,0.666666667,0,v1,fleet_too_small
AUCKLAND RESCUE HELICOPTER,4,0.5,0,v1,fleet_too_small
AURORA FLIGHT SCIENCES,4,0.75,0,v1,fleet_too_small
AUSTRALIA - CUSTOMS,1,1,0,v1,fleet_too_small
AUSTRALIA - FEDERAL POLICE,1,1,0,v1,fleet_too_small
AV8JET,4,1,0,v1,fleet_too_small
AVA AIRLINES,4,1,0,v1,fleet_too_small
AVANTI AIR,2,0.5,0,v1,fleet_too_small
AVIASTAR,1,1,0,v1,fleet_too_small
AVIATION SERVICES MANAGEMENT,2,1,0,v1,fleet_too_small
AVIATOR.S5,2,1,0,v1,fleet_too_small
AVIATSA,1,1,0,v1,fleet_too_small
AVIONCO,1,1,0,v1,fleet_too_small
AVIOSTART,3,0.333333333,0,v1,fleet_too_small
AWESOME CARGO,3,0.666666667,0,v1,fleet_too_small
AZUL CONECTA,1,1,0,v1,fleet_too_small
AZURE AVIATION,2,1,0,v1,fleet_too_small
BADEN AIRCRAFT OPERATIONS,1,1,0,v1,fleet_too_small
BAE SYSTEMS,3,1,0,v1,fleet_too_small
BAHRAIN ROYAL FLIGHT,4,0.75,0,v1,fleet_too_small
BAIRLINE,3,1,0,v1,fleet_too_small
BAR XH AIR,2,0.5,0,v1,fleet_too_small
BASSAKA AIR,2,0.5,0,v1,fleet_too_small
BBN AIRLINES,3,0.666666667,0,v1,fleet_too_small
BELGIUM - NAVY,3,0.333333333,0,v1,fleet_too_small
BENIN AIRLINES,2,0.5,0,v1,fleet_too_small
BEOND,2,1,0,v1,fleet_too_small
BERJAYA AIR,2,1,0,v1,fleet_too_small
BERMUDAIR,4,0.5,0,v1,fleet_too_small
BEST JETS INTERNATIONAL,2,1,0,v1,fleet_too_small
BH AIR,1,0,0,v1,fleet_too_small
BHUTAN AIRLINES,2,0.5,0,v1,fleet_too_small
BINAIR,4,0.25,0,v1,fleet_too_small
BIRDBASE AVIATION,2,0.5,0,v1,fleet_too_small
BLUE SQUARE AVIATION,1,1,0,v1,fleet_too_small
BLUEBIRD AIRWAYS,4,0.75,0,v1,fleet_too_small
BLUESKY AIRWAYS,3,0.666666667,0,v1,fleet_too_small
BOOKAJET,1,1,0,v1,fleet_too_small
BRASPRESS AIR CARGO,2,0.5,0,v1,fleet_too_small
BRAVO AIRWAYS,2,1,0,v1,fleet_too_small
BRILLIANT JET,1,1,0,v1,fleet_too_small
BROMMA AIR MAINTENANCE,3,0.666666667,0,v1,fleet_too_small
BUDAPEST AIRCRAFT SERVICE,3,0.333333333,0,v1,fleet_too_small
BUFFALO RIVER AVIATION,3,1,0,v1,fleet_too_small
BULGARIA - GOVERNMENT,1,1,0,v1,fleet_too_small
BUSINESS WINGS,4,0.75,0,v1,fleet_too_small
BYSKY,3,0.333333333,0,v1,fleet_too_small
CAE AVIATION,2,1,0,v1,fleet_too_small
CAMEX AIRLINES,3,1,0,v1,fleet_too_small
CANADA - ROYAL CANADIAN MOUNTED POLICE,1,1,0,v1,fleet_too_small
CANADA - SASKATCHEWAN AIR AMBULANCE SERVICE,4,0.25,0,v1,fleet_too_small
CANADIAN AIRWAYS CONGO,3,0.666666667,0,v1,fleet_too_small
CAPITAL AIR AMBULANCE,4,0.5,0,v1,fleet_too_small
CAPITAL CITY AIR CARRIERS,3,1,0,v1,fleet_too_small
CARDIG AIR,1,1,0,v1,fleet_too_small
CARPATAIR,3,1,0,v1,fleet_too_small
CEIBA INTERCONTINENTAL,3,1,0,v1,fleet_too_small
CHAIR AIRLINES,4,0.5,0,v1,fleet_too_small
CHARTER JETS,4,1,0,v1,fleet_too_small
CHICAGO JET GROUP,4,0.5,0,v1,fleet_too_small
CHINA FLIGHT GENERAL AVIATION COMPANY,2,1,0,v1,fleet_too_small
CHRONO JET,3,0.666666667,0,v1,fleet_too_small
CLASS AVIATION,1,1,0,v1,fleet_too_small
CLAY LACY AVIATION,1,1,0,v1,fleet_too_small
CLIPPERJET,1,1,0,v1,fleet_too_small
CM AIRLINES,1,1,0,v1,fleet_too_small
COLORFUL YUNNAN AIRLINES,1,1,0,v1,fleet_too_small
COMMUTEAIR,1,1,0,v1,fleet_too_small
COMPAGNIA AERONAUTICA ITALIANA,1,1,0,v1,fleet_too_small
CONQUEST AIR,2,0.5,0,v1,fleet_too_small
CONSTANTA AIRLINE,2,1,0,v1,fleet_too_small
CORPORATE AIR,1,1,0,v1,fleet_too_small
CORPORATE JET,2,0.5,0,v1,fleet_too_small
CRONOS AIRLINES,4,1,0,v1,fleet_too_small
CRONOS AIRLINES BENIN,1,1,0,v1,fleet_too_small
CROSS AVIATION,3,0.666666667,0,v1,fleet_too_small
CROWN AIRLINES,1,1,0,v1,fleet_too_small
DAALLO AIRLINES,4,1,0,v1,fleet_too_small
DAN AIR,3,0.666666667,0,v1,fleet_too_small
DB AVIATION,4,0.75,0,v1,fleet_too_small
DEA AVIATION,3,0.666666667,0,v1,fleet_too_small
DESERT JET,3,0.666666667,0,v1,fleet_too_small
DIGAJET,4,0.25,0,v1,fleet_too_small
DIRECT2,1,1,0,v1,fleet_too_small
DOKIA AIR,1,1,0,v1,fleet_too_small
DORNIER AVIATION NIGERIA AIEP,4,0.5,0,v1,fleet_too_small
DRAGONFLY EXECUTIVE,4,1,0,v1,fleet_too_small
E-AVIATION,4,1,0,v1,fleet_too_small
E-CARGO AIRLINES,1,1,0,v1,fleet_too_small
EAGLE AIR ICELAND,3,0.333333333,0,v1,fleet_too_small
EAGLE CREEK AVIATION,2,1,0,v1,fleet_too_small
EAST COAST FLIGHT SERVICES,2,1,0,v1,fleet_too_small
EAST WING,2,1,0,v1,fleet_too_small
EASTERN AIRLINES,2,1,0,v1,fleet_too_small
EASY CHARTER,1,1,0,v1,fleet_too_small
EATIS,1,1,0,v1,fleet_too_small
EC CHARTER,3,1,0,v1,fleet_too_small
ECOJET,4,0.5,0,v1,fleet_too_small
EGT JET,3,0.666666667,0,v1,fleet_too_small
ELAN EXPRESS,1,1,0,v1,fleet_too_small
ELEMENTAL AVIATION,2,1,0,v1,fleet_too_small
ELIN GROUP,1,1,0,v1,fleet_too_small
ELVETIA AVIATION,1,1,0,v1,fleet_too_small
EMPEROR AVIATION,4,0.75,0,v1,fleet_too_small
ENG AVIATION,3,1,0,v1,fleet_too_small
EPSILON AVIATION,4,0.5,0,v1,fleet_too_small
ESTELAR,4,0.75,0,v1,fleet_too_small
ESTONIA - AIR FORCE,4,0.75,0,v1,fleet_too_small
ESWATINI AIR,2,0.5,0,v1,fleet_too_small
ETF AIRWAYS,1,1,0,v1,fleet_too_small
EURO LINK,4,0.75,0,v1,fleet_too_small
EUROAVIA AIRLINES,1,1,0,v1,fleet_too_small
EUROPEAN FLIGHT SERVICE,4,1,0,v1,fleet_too_small
EVERETT AVIATION,3,1,0,v1,fleet_too_small
EWA AIR,2,0.5,0,v1,fleet_too_small
EXCELAIRE,1,1,0,v1,fleet_too_small
EXCLUSIVE AVIATION,1,1,0,v1,fleet_too_small
EXECUFLIGHT,1,1,0,v1,fleet_too_small
EXECUJET MIDDLE EAST,4,1,0,v1,fleet_too_small
EXECUTIVE AIRLINK,1,1,0,v1,fleet_too_small
EXECUTIVE AVIATION CORPORATION,4,0.75,0,v1,fleet_too_small
EXECUTIVE AVIATION SERVICES,2,1,0,v1,fleet_too_small
EXECUTIVE JET CHARTER,1,0,0,v1,fleet_too_small
EXPRESS AIR CARGO,3,1,0,v1,fleet_too_small
EXXAERO,4,0.75,0,v1,fleet_too_small
EZNIS AIRWAYS,1,1,0,v1,fleet_too_small
EZY AIRLINES,1,1,0,v1,fleet_too_small
FALCON LUXE,1,1,0,v1,fleet_too_small
FANJET EXPRESS,2,1,0,v1,fleet_too_small
FEUERWEHR-FLUGDIENST NIEDERSACHSEN,2,0.5,0,v1,fleet_too_small
FINISTAIR,1,1,0,v1,fleet_too_small
FINNHEMS,4,0.5,0,v1,fleet_too_small
FIREBLADE AVIATION,2,1,0,v1,fleet_too_small
FITSAIR,3,0.333333333,0,v1,fleet_too_small
FLEXFLIGHT,3,1,0,v1,fleet_too_small
FLIGHTLINK,4,0.5,0,v1,fleet_too_small
FLIGHTSTAR,1,1,0,v1,fleet_too_small
FLIGHTWORKS,2,1,0,v1,fleet_too_small
FLY ALLWAYS,3,0.333333333,0,v1,fleet_too_small
FLY ALS,4,0.5,0,v1,fleet_too_small
FLY ANGOLA,1,1,0,v1,fleet_too_small
FLY AWAY,2,0.5,0,v1,fleet_too_small
FLY CHAM,4,1,0,v1,fleet_too_small
FLY KHIVA,3,1,0,v1,fleet_too_small
FLY OYA,3,1,0,v1,fleet_too_small
FLY PRO,3,1,0,v1,fleet_too_small
FLY SKY AIRLINES,4,0.25,0,v1,fleet_too_small
FLY US,1,1,0,v1,fleet_too_small
FLY VAAYU,2,0.5,0,v1,fleet_too_small
FLY4 AIRLINES,4,0.25,0,v1,fleet_too_small
FLY540,3,1,0,v1,fleet_too_small
FLY91,3,0.333333333,0,v1,fleet_too_small
FLYBIG,4,0.25,0,v1,fleet_too_small
FLYCOM AVIATION,1,1,0,v1,fleet_too_small
FLYERBIL AIRLINE,1,0,0,v1,fleet_too_small
FLYGTA AIRLINES,4,1,0,v1,fleet_too_small
FLYLILI,3,0.666666667,0,v1,fleet_too_small
FLYME,2,1,0,v1,fleet_too_small
FLYMONTSERRAT,2,1,0,v1,fleet_too_small
FLYYO,3,0.333333333,0,v1,fleet_too_small
FORT AERO,1,1,0,v1,fleet_too_small
FOX AVIATION,3,1,0,v1,fleet_too_small
FRANCE - ARMY,1,1,0,v1,fleet_too_small
FRANCONIA AIR SERVICE,1,1,0,v1,fleet_too_small
FREEDOM AIR,1,1,0,v1,fleet_too_small
FROST,4,0.25,0,v1,fleet_too_small
FSH AVIATION,3,0.666666667,0,v1,fleet_too_small
FTL AIRLINES,1,1,0,v1,fleet_too_small
GALISTAIR INFINITE AVIATION,2,1,0,v1,fleet_too_small
GELIX AIRLINES,4,0.25,0,v1,fleet_too_small
GENERAL ATOMIC AEROTECH SYSTEMS,2,1,0,v1,fleet_too_small
GENEX,2,0.5,0,v1,fleet_too_small
GEORGIAN AVIATION UNIVERSITY,1,1,0,v1,fleet_too_small
GHADAMES AIR TRANSPORT,1,1,0,v1,fleet_too_small
GLENCORE CANADA,2,1,0,v1,fleet_too_small
GLOBAL AIR CHARTERS,2,1,0,v1,fleet_too_small
GLOBAL AIR TRANSPORT,3,0.333333333,0,v1,fleet_too_small
GLOBAL REACH AVIATION,2,1,0,v1,fleet_too_small
GLOCK AVIATION,1,1,0,v1,fleet_too_small
GO2SKY,3,0.666666667,0,v1,fleet_too_small
GOLDECK-FLUG,2,1,0,v1,fleet_too_small
GOODJET,4,1,0,v1,fleet_too_small
GP AVIATION,3,1,0,v1,fleet_too_small
GRAFAIR,3,0.666666667,0,v1,fleet_too_small
GRAND CHINA AIR,3,0.333333333,0,v1,fleet_too_small
GREECE - ARMY,1,1,0,v1,fleet_too_small
GREEN AFRICA,3,0.666666667,0,v1,fleet_too_small
GRYPHON AIR,1,1,0,v1,fleet_too_small
GUARDIAN AIR,3,1,0,v1,fleet_too_small
GULF WINGS,3,0.666666667,0,v1,fleet_too_small
GULLIVAIR,2,1,0,v1,fleet_too_small
HAHN AIR,2,1,0,v1,fleet_too_small
HAINAN LILY JET,1,1,0,v1,fleet_too_small
HALA AIR,1,1,0,v1,fleet_too_small
HARMONY JETS,4,1,0,v1,fleet_too_small
HAUTE AVIATION,1,1,0,v1,fleet_too_small
HAYWAYS,1,1,0,v1,fleet_too_small
HELI AIR MONACO,1,1,0,v1,fleet_too_small
HELI AIR SERVICES,4,0.75,0,v1,fleet_too_small
HELI SECURITE,2,0.5,0,v1,fleet_too_small
HELIBRAVO,2,0.5,0,v1,fleet_too_small
HELITY COPTER AIRLINES,4,0.25,0,v1,fleet_too_small
