airline,fleet_size,diversity,modernity_index,version_v1,qa_notes
LATAM AIRLINES,330,0.042424242,0.004848485,v1,
EASYJET,358,0.01396648,0.001117318,v1,
ALASKA AIRLINES,332,0.027108434,0.002409639,v1,
MALAYSIA AIRLINES,88,0.090909091,0.009090909,v1,
SRILANKAN AIRLINES,23,0.260869565,0.034782609,v1,
ENTER AIR,35,0.314285714,0.011428571,v1,
KENYA AIRWAYS,35,0.257142857,0.011428571,v1,
CHINA EXPRESS AIRLINES,78,0.076923077,0.005128205,v1,
VIETJET AIR,107,0.065420561,0.003738318,v1,
HISKY,8,0.5,0,v1,
CHINA EASTERN AIRLINES,671,0.034277198,0.002980626,v1,
AIRASIA,225,0.017777778,0.001777778,v1,
WEST AIR,45,0.222222222,0.026666667,v1,
SUNEXPRESS,87,0.229885057,0.004597701,v1,
TUNISAIR,21,0.285714286,0.019047619,v1,
UNITED AIRLINES,2981,0.012411942,0.000805099,v1,
AIR PEACE,22,0.681818182,0,v1,
SHENZHEN AIRLINES,203,0.054187192,0.00591133,v1,
AER LINGUS,80,0.0875,0.005,v1,
FINNAIR,80,0.1,0.005,v1,
SKYUP AIRLINES,14,0.785714286,0.028571429,v1,
URAL AIRLINES,52,0.134615385,0.007692308,v1,
EVA AIR,90,0.122222222,0.008888889,v1,
LUCKY AIR,53,0.264150943,0.01509434,v1,
CHENGDU AIRLINES,82,0.073170732,0.009756098,v1,
TRANSAVIA,142,0.11971831,0.002816901,v1,
AIRFAST INDONESIA,10,0.6,0.04,v1,
MAURITANIA AIRLINES,5,0.8,0.08,v1,
SAUDIA,164,0.091463415,0.004878049,v1,
TIBET AIRLINES,47,0.085106383,0.008510638,v1,
VUELING,141,0.056737589,0.002836879,v1,
NORTH-WEST AIR COMPANY,16,0.625,0.025,v1,
9 AIR,27,0.185185185,0.014814815,v1,
STARFLYER,11,0.181818182,0.036363636,v1,
TAAG ANGOLA AIRLINES,22,0.363636364,0.045454545,v1,
DELTA AIR LINES,1302,0.028417819,0.001228879,v1,
TIANJIN AIRLINES,91,0.076923077,0.004395604,v1,
CITILINK,59,0.101694915,0.006779661,v1,
AIRBLUE,12,0.25,0,v1,
BAMBOO AIRWAYS,6,0.5,0.066666667,v1,
HUNNU AIR,6,0.833333333,0,v1,
JIN AIR,31,0.225806452,0.012903226,v1,
SPICEJET,44,0.227272727,0.009090909,v1,
SMARTAVIA,13,0.615384615,0.030769231,v1,
AZERBAIJAN AIRLINES,33,0.393939394,0.024242424,v1,
BATIK AIR,104,0.086538462,0.007692308,v1,
AEROLINEAS ARGENTINAS,84,0.202380952,0.004761905,v1,
DEER JET BEIJING,7,0.714285714,0.057142857,v1,
DRUK AIR,7,0.571428571,0.057142857,v1,
TITAN AIRWAYS,7,0.714285714,0,v1,
AMERICAN AIRLINES,1598,0.018147685,0.001001252,v1,
JET2,131,0.229007634,0,v1,
NOUVELAIR,15,0.133333333,0.026666667,v1,
LION AIR,83,0.084337349,0.004819277,v1,
FUZHOU AIRLINES,16,0.4375,0.025,v1,
MEXICANA,8,0.625,0,v1,
PHILIPPINE AIRLINES,80,0.125,0.01,v1,
ASKY AIRLINES,17,0.647058824,0.023529412,v1,
JEJU AIR,43,0.348837209,0.009302326,v1,
CAPITAL AIRLINES,88,0.159090909,0.004545455,v1,
QANTAS,133,0.067669173,0.003007519,v1,
ALLEGIANT AIR,131,0.030534351,0.003053435,v1,
EUROWINGS,124,0.112903226,0.003225806,v1,
BRUSSELS AIRLINES,48,0.125,0.008333333,v1,
AUSTRIAN AIRLINES,68,0.161764706,0.011764706,v1,
EDELWEISS AIR,21,0.142857143,0.019047619,v1,
LUXAIR,21,0.285714286,0.019047619,v1,
SHANDONG AIRLINES,139,0.086330935,0.002877698,v1,
T'WAY AIR,43,0.348837209,0.009302326,v1,
AEROFLOT,169,0.059171598,0.004733728,v1,
VIRGIN AUSTRALIA,106,0.08490566,0.003773585,v1,
AIR CA TE D'IVOIRE,12,0,0,v1,
DONGHAI AIRLINES,24,0.166666667,0.016666667,v1,
AIR ARABIA,77,0.051948052,0,v1,
NORDWIND AIRLINES,27,0.518518519,0.014814815,v1,
BELAVIA,14,0.642857143,0.028571429,v1,
GARUDA INDONESIA,74,0.162162162,0,v1,
KUNMING AIRLINES,31,0.193548387,0.012903226,v1,
QANTASLINK,110,0.063636364,0.005454545,v1,
FLYONE,16,0.4375,0.025,v1,
WIDEROE,50,0.1,0,v1,
GERMANY - AIR FORCE,87,0.206896552,0.004597701,v1,
SMARTLYNX,36,0.277777778,0.011111111,v1,
EMBRAER,147,0.115646259,0,v1,
AIR GREENLAND,23,0.260869565,0,v1,
EMIRATES,269,0.033457249,0.001486989,v1,
MEXICO - AIR FORCE,91,0.263736264,0.004395604,v1,
AUSTRALIA - ROYAL AUSTRALIAN AIR FORCE,151,0.092715232,0.002649007,v1,
2EXCEL AVIATION,24,0.5,0,v1,
748 AIR SERVICES,7,0.571428571,0,v1,
ABAKAN AIR,5,0.6,0,v1,
ABU DHABI AVIATION,14,0.5,0,v1,
ABX AIR,11,0.454545455,0,v1,
ADVANCED AIR,23,0.565217391,0,v1,
ADVANCED FLIGHT TRAINING,5,1,0,v1,
AERO,12,0.5,0,v1,
AERO ASAHI,39,0.358974359,0,v1,
AERO CHARTER,13,0.769230769,0,v1,
AERO K,7,0.285714286,0,v1,
AERO MONGOLIA,5,0.6,0,v1,
AERO SOTRAVIA,5,0.8,0,v1,
AERO WAYS,6,0.833333333,0,v1,
AERO-BETA FLIGHT TRAINING,12,0.666666667,0,v1,
AERO-DIENST,5,0.6,0,v1,
AEROCLUB BARCELONA-SABADELL,14,0.714285714,0,v1,
AERODYNAMICS ACADEMY,17,0.176470588,0,v1,
AEROGUARD FLIGHT TRAINING CENTER,113,0.044247788,0,v1,
AEROITALIA,13,0.769230769,0,v1,
AEROLINEAS EJECUTIVAS,26,0.307692308,0,v1,
AEROLOGIC,14,0.285714286,0,v1,
AEROMEXICO CONNECT,36,0.055555556,0,v1,
AERONAVES TSM,97,0.443298969,0,v1,
AEROPARTNER,9,0.555555556,0,v1,
AEROPYRENEES,13,0.769230769,0,v1,
AEROSERVICIOS DE LA COSTA,8,0.375,0,v1,
AEROSUCRE,7,1,0,v1,
AEROTEC,13,0.692307692,0,v1,
AEROVIAS DAP,11,0.545454545,0,v1,
AEROWAYS,11,0.636363636,0,v1,
AEROWEST,13,0.384615385,0,v1,
AERUS,7,0.142857143,0,v1,
AFRICA CHARTER AIRLINE,6,0.833333333,0,v1,
AFRICA WORLD AIRLINES,8,0.125,0,v1,
AFRIJET,5,0.4,0,v1,
AFRIQIYAH AIRWAYS,9,0.444444444,0,v1,
AIMS COMMUNITY COLLEGE AVIATION,18,0.166666667,0,v1,
AIR ADELPHI,5,0.2,0,v1,
AIR ALGERIE,56,0.142857143,0,v1,
AIR ALLIANCE,8,0.875,0,v1,
AIR ANTILLES,5,0.6,0,v1,
AIR BOREALIS,9,0.111111111,0,v1,
AIR BOTSWANA,6,0.666666667,0,v1,
AIR CAMBODIA,6,0.666666667,0,v1,
AIR CANADA ROUGE,37,0.108108108,0,v1,
AIR CARE ALLIANCE,8,0.875,0,v1,
AIR CARGO CARRIERS,30,0.133333333,0,v1,
AIR CENTRAL,15,0.666666667,0,v1,
AIR CENTURY,7,0.428571429,0,v1,
AIR CHANGAN,14,0.428571429,0,v1,
AIR CHARTER SCOTLAND,10,0.7,0,v1,
AIR CHATHAMS,16,0.5625,0,v1,
AIR CHINA CARGO,25,0.24,0,v1,
AIR CHINA INNER MONGOLIA,9,0.222222222,0,v1,
AIR CORPORATE,14,0.785714286,0,v1,
AIR CREEBEC,21,0.19047619,0,v1,
AIR DO,13,0.230769231,0,v1,
AIR DOLOMITI,26,0.076923077,0,v1,
AIR DREAM COLLEGE,10,0.4,0,v1,
AIR FLAMENCO,13,0.692307692,0,v1,
AIR GUILIN,9,0.444444444,0,v1,
AIR HORIZONT,6,0.666666667,0,v1,
AIR INCHEON,6,0.833333333,0,v1,
AIR INUIT,36,0.305555556,0,v1,
AIR KIRIBATI,5,0.8,0,v1,
AIR KORYO,9,0.777777778,0,v1,
AIR LIAISON,13,0.384615385,0,v1,
AIR LIBYA,8,0.625,0,v1,
AIR LOYAUTE,5,0.4,0,v1,
AIR METHODS,23,0.434782609,0,v1,
AIR NIUGINI,29,0.344827586,0,v1,
AIR NORTH,11,0.727272727,0,v1,
