airline,fleet_size,n_models,diversity,modernity_index,new_gen_share,pct_a220,pct_787,pct_a350,pct_a330neo,pct_neo,pct_max,pct_newgen_narrow,pct_newgen_wide
AIR HORIZONT,6,4,0.666666667,0,0,0,0,0,0,0,0,0,0
AIR INCHEON,6,5,0.833333333,0,0,0,0,0,0,0,0,0,0
AIR INDIA,191,12,0.062827225,0.008376963,0.759162304,0,0.010471204,0.005235602,0,0.005235602,0,0.005235602,0.015706806
AIR INDIA EXPRESS,114,8,0.070175439,0.007017544,0.561403509,0,0,0,0,0.00877193,0.00877193,0.01754386,0
AIR INUIT,36,11,0.305555556,0,0,0,0,0,0,0,0,0,0
AIR JAPAN,2,1,0.5,0.2,1,0,0.5,0,0,0,0,0,0.5
AIR KEY WEST,3,2,0.666666667,0,0,0,0,0,0,0,0,0,0
AIR KIRIBATI,5,4,0.8,0,0,0,0,0,0,0,0,0,0
AIR KORYO,9,7,0.777777778,0,0,0,0,0,0,0,0,0,0
AIR LIAISON,13,5,0.384615385,0,0,0,0,0,0,0,0,0,0
AIR LIBYA,8,5,0.625,0,0,0,0,0,0,0,0,0,0
AIR LOYAUTE,5,2,0.4,0,0,0,0,0,0,0,0,0,0
AIR MACAU,22,4,0.181818182,0.018181818,0.363636364,0,0,0,0,0.045454545,0,0.045454545,0
AIR MANAS,1,1,1,0.6,1,1,0,0,0,0,0,1,0
AIR MAURITIUS,12,5,0.416666667,0.033333333,0.5,0,0,0.083333333,0,0,0,0,0.083333333
AIR MEDITERRANEAN,2,1,0.5,0,0,0,0,0,0,0,0,0,0
AIR METHODS,23,10,0.434782609,0,0,0,0,0,0,0,0,0,0
AIR MOANA,3,1,0.333333333,0,0,0,0,0,0,0,0,0,0
AIR MONTENEGRO,3,2,0.666666667,0,0,0,0,0,0,0,0,0,0
AIR MOUNTAIN,2,1,0.5,0,0,0,0,0,0,0,0,0,0
AIR NEW ZEALAND,113,8,0.07079646,0.007079646,0.292035398,0,0.008849558,0,0,0.008849558,0,0.008849558,0.008849558
AIR NIUGINI,29,10,0.344827586,0,0,0,0,0,0,0,0,0,0
AIR NORTH,11,8,0.727272727,0,0,0,0,0,0,0,0,0,0
AIR NUNAVUT,15,6,0.4,0,0,0,0,0,0,0,0,0,0
AIR OCEAN MAROC,6,5,0.833333333,0,0,0,0,0,0,0,0,0,0
AIR PANAMA,5,2,0.4,0,0,0,0,0,0,0,0,0,0
AIR PEACE,22,15,0.681818182,0,0.227272727,0,0,0,0,0,0,0,0
AIR PREMIA,8,1,0.125,0.05,1,0,0.125,0,0,0,0,0,0.125
AIR RAROTONGA,6,4,0.666666667,0,0,0,0,0,0,0,0,0,0
AIR SAFARIS,6,5,0.833333333,0,0,0,0,0,0,0,0,0,0
AIR SAINT-PIERRE,1,1,1,0,0,0,0,0,0,0,0,0,0
AIR SAMARKAND,3,3,1,0.133333333,0.333333333,0,0,0,0,0.333333333,0,0.333333333,0
AIR SENEGAL,9,5,0.555555556,0.066666667,0.333333333,0.111111111,0,0,0,0,0,0.111111111,0
AIR SEOUL,6,2,0.333333333,0,0,0,0,0,0,0,0,0,0
AIR SEYCHELLES,7,2,0.285714286,0.057142857,0.285714286,0,0,0,0,0.142857143,0,0.142857143,0
AIR SPRAY,46,19,0.413043478,0,0,0,0,0,0,0,0,0,0
AIR SUNSHINE,8,3,0.375,0,0,0,0,0,0,0,0,0,0
AIR TAHITI,12,2,0.166666667,0,0,0,0,0,0,0,0,0,0
AIR TAHITI NUI,4,1,0.25,0.1,1,0,0.25,0,0,0,0,0,0.25
AIR TANZANIA,17,7,0.411764706,0.082352941,0.529411765,0.058823529,0.058823529,0,0,0,0.058823529,0.117647059,0.058823529
AIR TAXI & CHARTER INTERNATIONAL,1,1,1,0,0,0,0,0,0,0,0,0,0
AIR TETIAROA,7,6,0.857142857,0,0,0,0,0,0,0,0,0,0
AIR THANLWIN,4,2,0.5,0,0,0,0,0,0,0,0,0,0
AIR TINDI,7,5,0.714285714,0,0,0,0,0,0,0,0,0,0
AIR TRANSAT,43,4,0.093023256,0,0.441860465,0,0,0,0,0,0,0,0
AIR TRANSPORT EUROPE,10,4,0.4,0,0,0,0,0,0,0,0,0,0
AIR TRANSPORT INTERNATIONAL,10,7,0.7,0,0,0,0,0,0,0,0,0,0
AIR TRAVEL,16,4,0.25,0.025,0.4375,0,0,0,0,0.0625,0,0.0625,0
AIR TXT,1,1,1,0,0,0,0,0,0,0,0,0,0
AIR URGA,4,2,0.5,0,0,0,0,0,0,0,0,0,0
AIR VANUATU,3,3,1,0,0,0,0,0,0,0,0,0,0
AIR VOLTA,4,2,0.5,0,0,0,0,0,0,0,0,0,0
AIR WISCONSIN,3,1,0.333333333,0,0,0,0,0,0,0,0,0,0
AIR ZIMBABWE,4,4,1,0,0,0,0,0,0,0,0,0,0
AIR-GLACIERS,24,7,0.291666667,0,0,0,0,0,0,0,0,0,0
AIR-TAXI EUROPE,4,1,0.25,0,0,0,0,0,0,0,0,0,0
AIR1AIR,2,2,1,0,0,0,0,0,0,0,0,0,0
AIR65 AVIATION,1,1,1,0,0,0,0,0,0,0,0,0,0
