airline,fleet_size,n_models,diversity,modernity_index,new_gen_share,cluster
AIR OCEAN MAROC,6,5.0,0.8333333333333334,0.0,0.0,0
AIR PANAMA,5,2.0,0.4,0.0,0.0,0
AIR PEACE,22,15.0,0.6818181818181818,0.0,0.2272727272727273,0
AIR PREMIA,8,1.0,0.125,0.05,1.0,1
AIR RAROTONGA,6,4.0,0.6666666666666666,0.0,0.0,0
AIR SAFARIS,6,5.0,0.8333333333333334,0.0,0.0,0
AIR SAINT-PIERRE,1,1.0,1.0,0.0,0.0,0
AIR SAMARKAND,3,3.0,1.0,0.133333333,0.3333333333333333,1
AIR SENEGAL,9,5.0,0.5555555555555556,0.066666667,0.3333333333333333,1
AIR SEOUL,6,2.0,0.3333333333333333,0.0,0.0,0
AIR SEYCHELLES,7,2.0,0.2857142857142857,0.057142857,0.2857142857142857,1
AIR SPRAY,46,19.0,0.4130434782608695,0.0,0.0,0
AIR SUNSHINE,8,3.0,0.375,0.0,0.0,0
AIR TAHITI,12,2.0,0.1666666666666666,0.0,0.0,0
AIR TAHITI NUI,4,1.0,0.25,0.1,1.0,1
AIR TANZANIA,17,7.0,0.4117647058823529,0.082352941,0.5294117647058824,1
AIR TAXI & CHARTER INTERNATIONAL,1,1.0,1.0,0.0,0.0,0
AIR TETIAROA,7,6.0,0.8571428571428571,0.0,0.0,0
AIR THANLWIN,4,2.0,0.5,0.0,0.0,0
AIR TINDI,7,5.0,0.7142857142857143,0.0,0.0,0
AIR TRANSAT,43,4.0,0.0930232558139534,0.0,0.4418604651162791,1
AIR TRANSPORT EUROPE,10,4.0,0.4,0.0,0.0,0
AIR TRANSPORT INTERNATIONAL,10,7.0,0.7,0.0,0.0,0
AIR TRAVEL,16,4.0,0.25,0.025,0.4375,1
AIR TXT,1,1.0,1.0,0.0,0.0,0
AIR URGA,4,2.0,0.5,0.0,0.0,0
AIR VANUATU,3,3.0,1.0,0.0,0.0,0
AIR VOLTA,4,2.0,0.5,0.0,0.0,0
AIR WISCONSIN,3,1.0,0.3333333333333333,0.0,0.0,0
AIR ZIMBABWE,4,4.0,1.0,0.0,0.0,0
AIR-GLACIERS,24,7.0,0.2916666666666667,0.0,0.0,0
AIR-TAXI EUROPE,4,1.0,0.25,0.0,0.0,0
AIR1AIR,2,2.0,1.0,0.0,0.0,0
AIR65 AVIATION,1,1.0,1.0,0.0,0.0,0
AIRACT,2,1.0,0.5,0.0,0.0,0
AIRASIA,225,4.0,0.0177777777777777,0.001777778,0.2444444444444444,1
AIRASIA X,25,1.0,0.04,0.0,0.0,0
AIRBLUE,12,3.0,0.25,0.0,0.1666666666666667,0
AIRBORNE IMAGING,4,1.0,0.25,0.0,0.0,0
AIRBUS,887,35.0,0.0394588500563697,0.00518602,0.8252536640360767,1
AIRBUS TRANSPORT INTERNATIONAL,11,2.0,0.1818181818181818,0.0,0.0,0
AIRCALIN,6,3.0,0.5,0.066666667,0.6666666666666666,1
AIRCHARTERS WORLDWIDE,2,2.0,1.0,0.0,0.0,0
AIRCRAFT MANAGEMENT GROUP,15,7.0,0.4666666666666667,0.0,0.0,0
AIREST,6,2.0,0.3333333333333333,0.0,0.0,0
AIREXPLORE,8,7.0,0.875,0.0,0.0,0
AIRFAST INDONESIA,10,6.0,0.6,0.04,0.2,0
AIRGO PRIVATE AIRLINE,3,2.0,0.6666666666666666,0.0,0.0,0
AIRHUB AIRLINES,1,1.0,1.0,0.0,0.0,0
AIRJET,2,2.0,1.0,0.0,0.0,0
AIRKENYA EXPRESS,5,4.0,0.8,0.0,0.0,0
AIRLEC AIR ESPACE,8,6.0,0.75,0.0,0.0,0
AIRLIFT,10,3.0,0.3,0.0,0.0,0
AIRLINK,87,25.0,0.2873563218390804,0.0,0.0,0
AIRMASTER,2,2.0,1.0,0.0,0.0,0
AIRNET,20,3.0,0.15,0.0,0.0,0
AIRNORTH,13,4.0,0.3076923076923077,0.0,0.0,0
AIRONE,1,1.0,1.0,0.0,0.0,0
AIRPAC AIRLINES,8,3.0,0.375,0.0,0.0,0
AIRQUEST AVIATION,2,2.0,1.0,0.0,0.0,0
AIRSERBIA,29,6.0,0.2068965517241379,0.0,0.0,0
AIRSF FLIGHT SERVICES,9,3.0,0.3333333333333333,0.0,0.0,0
AIRSHARE,70,30.0,0.4285714285714285,0.0,0.0,0
AIRSIAL,7,3.0,0.4285714285714285,0.0,0.0,0
AIRSMART,8,4.0,0.5,0.0,0.0,0
AIRSPRINT,40,6.0,0.15,0.0,0.0,0
AIRSTAR CHARTER,3,3.0,1.0,0.0,0.0,0
AIRSTREAM,2,2.0,1.0,0.0,0.0,0
AIRSWIFT,5,2.0,0.4,0.0,0.0,0
AIRTANKER,2,1.0,0.5,0.0,0.0,0
AIRTASK,3,2.0,0.6666666666666666,0.0,0.0,0
AIRTRAFFIC,4,1.0,0.25,0.0,0.0,0
AIRWORK,10,8.0,0.8,0.0,0.0,0
AIRX,19,6.0,0.3157894736842105,0.0,0.0,0
AIS AIRLINES,7,1.0,0.1428571428571428,0.0,0.0,0
AITHERAS AVIATION GROUP,9,6.0,0.6666666666666666,0.0,0.0,0
AJET,90,11.0,0.1222222222222222,0.008888889,0.4222222222222222,1
AKASA AIR,30,2.0,0.0666666666666666,0.026666667,1.0,1
ALADDIN JET,1,1.0,1.0,0.0,0.0,0
ALAMAN AIR,2,2.0,1.0,0.0,0.0,0
ALANTE AIR CHARTER,5,4.0,0.8,0.0,0.0,0
ALASKA AIRLINES,332,9.0,0.0271084337349397,0.002409639,0.2650602409638554,1
ALASKA CENTRAL EXPRESS,19,1.0,0.0526315789473684,0.0,0.0,0
ALBASTAR,5,5.0,1.0,0.0,0.0,0
ALBATROS AIRLINES,1,1.0,1.0,0.0,0.0,0
ALBINATI AERONAUTICS,2,2.0,1.0,0.0,0.0,0
ALBINATI AVIATION,1,1.0,1.0,0.0,0.0,0
ALEXANDRIA AIRLINES,1,1.0,1.0,0.0,0.0,0
ALFA AIRLINES,2,2.0,1.0,0.0,0.0,0
ALHAYA AVIATION,1,1.0,1.0,0.0,0.0,0
ALIDAUNIA,9,5.0,0.5555555555555556,0.0,0.0,0
ALISERIO,11,7.0,0.6363636363636364,0.0,0.0,0
ALK AIRLINES,1,1.0,1.0,0.0,0.0,0
ALKAN AIR,21,13.0,0.6190476190476191,0.0,0.0,0
ALL NIPPON AIRWAYS,247,20.0,0.0809716599190283,0.008097166,0.4817813765182186,1
ALLEGIANT AIR,131,4.0,0.0305343511450381,0.003053435,0.1068702290076336,0
ALLIANCE AIR,22,4.0,0.1818181818181818,0.0,0.0,0
ALLIANCE AIRLINES,45,4.0,0.0888888888888888,0.0,0.0,0
ALLIANCE EXECUTIVE JETS,4,3.0,0.75,0.0,0.0,0
ALLIED AIR,4,4.0,1.0,0.0,0.0,0
ALMASRIA UNIVERSAL AIRLINES,8,4.0,0.5,0.0,0.0,0
ALOHA AIR CARGO,9,8.0,0.8888888888888888,0.0,0.0,0
ALPAVIA,2,1.0,0.5,0.0,0.0,0
ALPHA AVIATION,21,9.0,0.4285714285714285,0.0,0.0,0
ALPHA THREE AVIATION,1,1.0,1.0,0.0,0.0,0
ALPHALAND AVIATION,2,1.0,0.5,0.0,0.0,0
ALPHASKY,3,3.0,1.0,0.0,0.0,0
ALPINE AIR EXPRESS,76,7.0,0.0921052631578947,0.0,0.0,0
ALPINE FLIGHTSERVICE,2,2.0,1.0,0.0,0.0,0
ALROSA,5,3.0,0.6,0.0,0.0,0
ALTAGNA,2,2.0,1.0,0.0,0.0,0
ALTAIR AIRLINES,1,1.0,1.0,0.0,0.0,0
ALTIUS AVIATION,4,3.0,0.75,0.0,0.0,0
AMAKUSA AIRLINES,1,1.0,1.0,0.0,0.0,0
AMC AIRLINES,3,2.0,0.6666666666666666,0.0,0.0,0
AMC AVIATION,17,15.0,0.8823529411764706,0.0,0.0,0
AMELIA,20,9.0,0.45,0.0,0.0,0
AMERICAN AIR CHARTER,8,7.0,0.875,0.0,0.0,0
AMERICAN AIRLINES,1598,29.0,0.0181476846057571,0.001001252,0.1420525657071339,1
AMERICAN JET,6,5.0,0.8333333333333334,0.0,0.0,0
AMERICAN JET INTERNATIONAL,10,6.0,0.6,0.0,0.0,0
AMERIFLIGHT,132,11.0,0.0833333333333333,0.0,0.0,0
AMERIJET INTERNATIONAL,12,6.0,0.5,0.0,0.0,0
AMERISTAR,12,4.0,0.3333333333333333,0.0,0.0,0
ANAP JETS,7,6.0,0.8571428571428571,0.0,0.0,0
ANDES LINEAS AEREAS,4,3.0,0.75,0.0,0.0,0
ANGARA AIRLINES,2,1.0,0.5,0.0,0.0,0
